PM2.5,PM10,NO,NO2,NOx,NH3,CO,Ozone,Benzene,SO2
200.29,294,37.64,40.48,52.22,51.67,1.77,27.56,6.72,8.58
87.15,174.92,9.11,32.62,24.77,40.01,0.74,56.48,2.08,5.13
115.27,228.87,40.63,43.49,56.24,39.08,1.04,54.31,2.79,6.1
163.21,282.76,63.71,50.06,78.58,48.36,1.22,45.34,3.94,4.29
224.62,368.04,65.19,47.5,78.42,56.17,1.45,43.17,4.78,6.53
222.44,371.36,91.71,69.3,112.03,65.4,2.15,30.25,6.4,5.99
115.22,153.75,15.95,52.16,40.69,55.12,1.24,38.74,3.54,3.53
94.69,137.16,27.71,25.94,36.38,39.64,0.93,41.09,2.56,8.01
138.59,213.89,17.13,25.63,27.51,40.7,1.15,40.51,3.76,9.55
155.57,268.12,42.15,39.91,56.14,47.51,1.49,36.35,4.13,13.9
126.71,235.93,14.86,42.84,34.88,40.95,1.35,40.12,3.85,7.23
170.52,255.23,42.8,45.48,59.09,43.65,1.14,40,3.79,8.18
179.75,337.57,73.63,55.48,89.56,51.49,1.58,48.05,4.84,8.95
237.81,468.04,102.32,70.25,120.77,57.72,2.23,69.38,8.04,10.04
185.21,363.27,93.99,54.66,105.61,57.18,1.4,42.64,4.81,17.03
163.9,292.85,61.34,53,78.2,46.8,1.17,44.9,3.87,11.13
191.62,352.12,77.09,53.79,90.64,64.2,1.46,43.24,5.03,15.58
197.08,300.25,68.51,48.64,81.79,63.73,1.24,47.46,3.8,27
206.32,301.53,71.38,51.89,85.88,60.53,1.57,49.62,3.54,28.67
216.5,354.28,87.17,58.96,102.41,61.06,1.52,48.82,4.91,22.67
256.82,407.57,90.91,66.68,109.61,66.96,1.55,50.26,4.88,25.01
211.09,390.04,86.39,56.63,100.61,67.18,1.13,55.8,3.73,27.59
113.88,233.98,56.9,50.72,73.36,65.87,0.96,51.37,2.42,19.44
89.27,234.41,41.73,42.7,56.75,57.74,0.66,61.72,1.88,10.91
94.34,225.32,41.36,47.38,58.94,58.6,0.78,63.35,2.6,14.28
179.09,294.59,66.78,55.19,83.8,63.29,1.19,49.85,3.27,50.07
226.98,398.46,91.98,60.43,107.15,63.89,1.29,41.46,4.5,49.41
201.52,344.58,78.4,60.02,95.87,60.69,0,43.45,4,61.58
166.45,267.91,114.77,57.7,124.18,54.94,1.12,50.05,5.82,28.27
99.67,256.82,13.93,47.06,36.05,55.76,1.1,65.73,3.05,7.6
70.23,103.19,11.27,29.71,24.53,43.66,1.35,48.17,1.98,11.54
98.82,187.39,9.78,29.84,23.86,50.39,6.1,31.84,3.27,18.2
123.23,186.21,12.68,23.73,22.96,63.66,0,25.06,1.89,14.9
105.59,194.93,17.24,25.49,27.61,63.25,0.57,32.32,2.17,25.63
205.27,328.4,26.45,27.55,36.19,62.69,1.28,40.26,3.31,51.74
182.54,352.33,29.35,29.82,39.79,53.87,1.32,46.2,3.68,25.8
110.23,233.27,13.37,26.8,25.15,53.92,1.19,55.01,4.61,9.73
84.7,183.11,5.34,27.29,18.87,51.96,0.82,52.43,2.36,10
57.02,115.67,11.72,55.28,38.96,59.28,0.85,49.53,2.89,7.05
46.88,98.45,15.5,51.3,39.93,54.62,1.37,44.06,2.67,11.93
116.47,240.44,57.81,49.55,71.84,69.1,1.45,32.98,3.37,17.81
56.27,242.47,4.82,30.85,18.68,47.26,0.4,17.9,1.47,14
66.33,215.75,3.96,34.45,21.18,43.17,0.57,23.96,1.91,13.32
33.4,114.4,5.21,41.21,26.08,36.09,0.57,25.8,1.58,10.63
23.82,48.05,11.97,42.73,32.5,32.16,0.79,30.41,1.79,10.09
53.23,104.98,11.98,33.41,27.54,33.1,0.73,42.83,1.6,11.55
94.41,153.86,39.1,31.96,48.89,39.13,0.97,50.15,2.55,15.29
81.48,167.94,14.96,27.81,26.99,31.77,0.63,53.18,1.36,14.64
98.79,171.02,9.06,30.38,23.54,32.04,0.62,74.68,1.49,13.31
57.52,120.81,7.84,36.8,25.96,36.54,0.69,60.15,1.47,11.11
61.56,201.04,24.42,46.85,44.84,33.7,0.9,45.5,2.35,11.85
91.75,306.65,29.69,45.43,48.26,30.01,0.65,52.17,1.74,18.4
45.08,105.42,13.43,38.68,31.52,32.46,0.6,32.67,1.55,13.08
108.04,186.48,23.09,38.73,39.42,40.46,0.76,60.68,2.17,20.51
101.12,208.98,9.51,32.7,25.16,36.98,0.66,56.99,1.4,29.03
110.52,221.88,8.29,33.18,24.41,37.58,0.73,58.82,1.52,32.32
113.67,236.27,7.97,32.19,23.59,38.99,0.89,60.44,1.92,37.31
138.3,294.53,48.97,44.12,63.39,44.67,1.05,49.91,2.13,30.13
93.34,231,23.26,57.91,49.72,35.99,1.11,68.61,2.91,19.19
116.18,277.24,24.22,41.91,42.09,51.06,0.86,51.32,2.96,38.53
87.82,145.5,9,30.04,23.35,38.64,0.7,54.86,2.11,21.55
61.5,105.78,6.98,25.03,19,35.78,0.57,58.21,1.51,19.22
50.94,96.83,6.47,25.45,18.82,32.74,0.62,46.07,1.67,16.29
51.15,83.33,9.85,17.87,17.53,46.29,0.58,13.66,1.24,10.27
76.01,103.38,5.88,12.51,11.45,44.43,0.55,20,1.4,15.5
28.65,44.1,5.81,13.12,11.79,27.52,0.48,26.02,0.76,11.09
28.62,42.42,7.75,11.79,12.59,27.78,0.8,12.89,1.24,9.73
79.67,102.56,6.49,10.87,11.08,39.81,0.54,15.14,1.17,11.96
