Delhi,Maharashtra,Tamil Nadu,West Bengal
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
2,0,0,0
3,0,0,0
3,0,1,0
3,0,1,0
4,2,1,0
4,5,1,0
5,10,1,0
6,11,1,0
6,11,1,0
7,14,1,0
7,32,1,0
7,32,1,0
8,36,1,0
9,39,1,1
11,44,2,1
16,44,3,1
25,60,3,3
28,64,5,4
28,71,7,7
29,86,13,9
30,125,16,9
35,121,20,10
35,127,23,10
38,177,34,15
38,183,36,18
