date, value
2020-01-22,56.74
2020-01-23,55.59
2020-01-24,54.19
2020-01-25,54.19
2020-01-26,54.19
2020-01-27,53.14
2020-01-28,53.48
2020-01-29,53.33
2020-01-30,52.14
2020-01-31,51.56
2020-01-32,51.56
2020-01-33,51.56
2020-02-03,50.11
2020-02-04,49.61
2020-02-05,50.75
2020-02-06,50.95
2020-02-07,50.32
2020-02-08,50.32
2020-02-09,50.32
2020-02-10,49.57
2020-02-11,49.94
2020-02-12,51.17
2020-02-13,51.42
2020-02-14,52.104
2020-02-15,52.104
2020-02-16,52.104
2020-02-17,52.104
2020-02-18,52.146
2020-02-19,53.41
2020-02-20,53.86
2020-02-21,53.38
2020-02-22,53.38
2020-02-23,53.38
2020-02-24,51.43
2020-02-25,49.9
2020-02-26,48.73
2020-02-27,47.09
2020-02-28,44.76
2020-02-29,44.76
2020-03-01,44.76
2020-03-02,46.75
2020-03-03,47.18
2020-03-04,46.78
2020-03-05,45.9
2020-03-06,41.28
2020-03-07,41.28
2020-03-08,41.28
2020-03-09,31.13
2020-03-10,34.36
2020-03-11,32.98
2020-03-12,31.5
2020-03-13,31.73
2020-03-14,31.73
2020-03-15,31.73
2020-03-16,28.7
2020-03-17,27.026
2020-03-18,20.554
2020-03-19,25.634
2020-03-20,22.59
2020-03-21,22.59
2020-03-22,22.59
2020-03-23,23.36
2020-03-24,24.01
2020-03-25,24.49
2020-03-26,22.6
2020-03-27,21.51
2020-03-28,20.42
2020-03-29,19.33
